ROUNDEL,LINE,TRANSCRIPTION,TRANSLATION,HAND
CRN244,#1,XV,XV,Roman Numerals Scribe
CRN245,#2,Eldo,Eldo,Lancastrian Scribe
CRN245,#1,XXV,XXV,Roman Numerals Scribe
CRN246,#2,Rodyon ,Redion ,Lancastrian Scribe
CRN246,#1,VII,VII,Roman Numerals Scribe
CRN247,#1,Rydergius,Redech,Lancastrian Scribe
CRN248,#1-2,Saw Pemsel,Samui Penisse,Lancastrian Scribe
CRN249,#2,Pyr ,Pir ,Lancastrian Scribe
CRN249,#1,XII,XII,Roman Numerals Scribe
CRN250,#2,Capoyr,Capoir,Lancastrian Scribe
CRN250,#1,VIII,VIII,Roman Numerals Scribe
CRN251,#2,Diwellius ,Cligueillius ,Lancastrian Scribe
CRN251,#1,XXVIII,XXVIII,Roman Numerals Scribe
CRN252,#1,Ely,Heli,Lancastrian Scribe
CRN253,#1,Lud ,Lud ,Lancastrian Scribe
CRN254,#1,Nennius,Nennius,Lancastrian Scribe
CRN255,#2-3,Cassibelianus ,Cassibelaunus ,Lancastrian Scribe
CRN255,#1,XII,XII,Roman Numerals Scribe
CRN256,#2,Tenancius ,Tenvantius ,Lancastrian Scribe
CRN256,#1,XXIII,XXIII,Roman Numerals Scribe
CRN257,#2-3,Kymbelinus,Cymbeline,Lancastrian Scribe
CRN257,#1,X,X,Roman Numerals Scribe
CRN258,#2,Guiderus,Guiderius,Lancastrian Scribe
CRN258,#1,XIII,XIII,Roman Numerals Scribe
CRN259,#1,Arviragus ,Arviragus ,Lancastrian Scribe
CRN260,#2,Marius ,Marius ,Lancastrian Scribe
CRN260,#1,XXIX,XXIX,Roman Numerals Scribe
CRN261,#2,Choylus ,Coilus ,Lancastrian Scribe
CRN261,#1,XL,XL,Roman Numerals Scribe
CRN262,#1-2,Severus romanus,Severus the Roman,Lancastrian Scribe
CRN262,#1,LXVII,LXVII,Roman Numerals Scribe
CRN263,#2-3,Lucius rex ,King Lucius ,Lancastrian Scribe
CRN264,#2,Basianus ,Bassianus ,Lancastrian Scribe
CRN264,#1,XII,XII,Roman Numerals Scribe
CRN265,#1,Gethas,Geta,Lancastrian Scribe
CRN266,#2,Carautius ,Carausius ,Lancastrian Scribe
CRN266,#1,VII,VII,Roman Numerals Scribe
CRN267,#2-3,Allectus romanus,Allectus the Roman,Lancastrian Scribe
CRN267,#1,III,III,Roman Numerals Scribe
CRN268,#2-3,Asclepiodotus,Asclepiodotus,Lancastrian Scribe
CRN268,#1,X,X,Roman Numerals Scribe
CRN269,#2,Choyl,Coe,Lancastrian Scribe
CRN269,#1,XXX,XXX,Roman Numerals Scribe
CRN270,#2-3,Constantius romanus ,Constantius the Roman ,Lancastrian Scribe
CRN270,#1,XI,XI,Roman Numerals Scribe
CRN271,#2-4,Constantinus magnus,Constantine the Great,Lancastrian Scribe
CRN271,#1,XXX,XXX,Roman Numerals Scribe
CRN272,#2,Octonius,Octavius,Lancastrian Scribe
CRN272,#1,LV,LV,Roman Numerals Scribe
CRN273,#2-4,Mamianus magnus,Mamian the Great,Lancastrian Scribe
CRN273,#1,V,V,Roman Numerals Scribe
CRN274,#2,Gratianus romanus ,Gratianus the Roman ,Lancastrian Scribe
CRN275,#2,Constantinus,Constantine,Lancastrian Scribe
CRN275,#1,X,X,Roman Numerals Scribe
CRN276,#1,Constans,Constans,Lancastrian Scribe
CRN277,#1,Utherpendragon,Uther Pendragon,Lancastrian Scribe
CRN278,#2,Vortigerus,Vortigern,Lancastrian Scribe
CRN278,#1,XXIII,XXIII,Roman Numerals Scribe
CRN279,#2,Vortimerus,Vortimer,Lancastrian Scribe
CRN280,#2-3,Aurelius Ambrosius,Aurelius Ambrosius,Lancastrian Scribe
CRN280,#1,XVII,XVII,Roman Numerals Scribe
CRN281,#2,Utherpendragon frater,Uther Pendragon his brother,Lancastrian Scribe
CRN282,#2,Arthurus,Arthur,Lancastrian Scribe
CRN282,#1,XXIX,XXIX,Roman Numerals Scribe
CRN283,#1-2,Constantinus tertius,Constantine,Lancastrian Scribe
CRN284,#1,Conanus,Conan,Lancastrian Scribe
CRN285,#1-2,Vortiporius,Vortipor,Lancastrian Scribe
CRN286,#1,Maylgo,Malgo,Lancastrian Scribe
CRN287,#1,Careticus,Caretic,Lancastrian Scribe
CRN288,#2,Hengistus,Hengist,Lancastrian Scribe
